cluster	numt
unclassified.Araneae_cluster60	TRUE
unclassified.Araneae_cluster61	TRUE
unclassified.Araneae_cluster62	TRUE
unclassified.Araneae_cluster63	TRUE
unclassified.Araneae_cluster7	TRUE
unclassified.Araneae_cluster8	FALSE
unclassified.Araneae_cluster9	FALSE
unclassified.Archaeognatha_cluster1	FALSE
unclassified.Archaeognatha_cluster10	TRUE
unclassified.Archaeognatha_cluster11	TRUE
unclassified.Archaeognatha_cluster2	TRUE
unclassified.Archaeognatha_cluster3	TRUE
unclassified.Archaeognatha_cluster4	TRUE
unclassified.Archaeognatha_cluster5	TRUE
unclassified.Archaeognatha_cluster6	TRUE
unclassified.Archaeognatha_cluster7	TRUE
unclassified.Archaeognatha_cluster8	TRUE
unclassified.Archaeognatha_cluster9	TRUE
Arthropoda_XXX_cluster1	FALSE
Bovidae_cluster1	FALSE
Bovidae_cluster2	FALSE
Bovidae_cluster3	FALSE
Camelidae_cluster1	FALSE
Camelidae_cluster2	FALSE
Cervidae_cluster1	FALSE
Cervidae_cluster2	FALSE
Cervidae_cluster3	FALSE
Cervidae_cluster4	FALSE
Cervidae_cluster5	FALSE
Cervidae_cluster6	TRUE
Cervidae_cluster7	FALSE
Suidae_cluster1	FALSE
Blaberidae_cluster1	FALSE
Blattidae_cluster1	FALSE
Blattidae_cluster10	TRUE
Blattidae_cluster11	TRUE
Blattidae_cluster12	TRUE
Blattidae_cluster2	FALSE
Blattidae_cluster3	TRUE
Blattidae_cluster4	TRUE
Blattidae_cluster5	TRUE
Blattidae_cluster6	TRUE
Blattidae_cluster7	TRUE
Blattidae_cluster8	TRUE
Blattidae_cluster9	TRUE
Blattodea_X_cluster1	TRUE
Blattodea_X_cluster2	FALSE
Ectobiidae_cluster1	FALSE
Ectobiidae_cluster10	TRUE
Ectobiidae_cluster11	TRUE
Ectobiidae_cluster12	TRUE
Ectobiidae_cluster13	FALSE
Ectobiidae_cluster14	TRUE
Ectobiidae_cluster15	TRUE
Ectobiidae_cluster16	TRUE
Ectobiidae_cluster17	TRUE
Ectobiidae_cluster18	TRUE
