cluster	numt
Staphylinidae_cluster265	FALSE
Staphylinidae_cluster338	FALSE
Coccinellidae_cluster32	FALSE
Staphylinidae_cluster56	FALSE
Carabidae_cluster29	FALSE
Curculionidae_cluster45	FALSE
unclassified.Coleoptera_cluster20	FALSE
Staphylinidae_cluster129	FALSE
Cerambycidae_cluster30	FALSE
Carabidae_cluster58	FALSE
Elateridae_cluster56	TRUE
Elateridae_cluster57	TRUE
Melandryidae_cluster6	FALSE
unclassified.Coleoptera_cluster100	FALSE
Chrysomelidae_cluster101	TRUE
Chrysomelidae_cluster96	FALSE
Curculionidae_cluster93	TRUE
Curculionidae_cluster112	FALSE
Latridiidae_cluster23	FALSE
Mordellidae_cluster18	FALSE
Chrysomelidae_cluster149	FALSE
Rhadalidae_cluster11	FALSE
Elateridae_cluster3	FALSE
Staphylinidae_cluster5	FALSE
Coccinellidae_cluster18	FALSE
Staphylinidae_cluster94	FALSE
Carabidae_cluster37	FALSE
Chrysomelidae_cluster54	FALSE
Staphylinidae_cluster157	FALSE
Staphylinidae_cluster152	FALSE
Cryptophagidae_cluster9	FALSE
Cryptophagidae_cluster11	FALSE
unclassified.Coleoptera_cluster30	FALSE
Staphylinidae_cluster236	FALSE
Staphylinidae_cluster192	FALSE
Staphylinidae_cluster273	FALSE
Staphylinidae_cluster242	FALSE
Curculionidae_cluster88	FALSE
unclassified.Coleoptera_cluster72	FALSE
Cantharidae_cluster50	TRUE
Cryptophagidae_cluster35	FALSE
Curculionidae_cluster144	TRUE
Latridiidae_cluster20	TRUE
Chrysomelidae_cluster143	FALSE
Ptiliidae_cluster2	FALSE
Carabidae_cluster28	FALSE
Mordellidae_cluster3	FALSE
Chrysomelidae_cluster40	FALSE
Staphylinidae_cluster115	FALSE
Chrysomelidae_cluster44	FALSE
Staphylinidae_cluster109	FALSE
Staphylinidae_cluster137	FALSE
Curculionidae_cluster60	FALSE
Apionidae_cluster6	FALSE
Melandryidae_cluster4	FALSE
Phalacridae_cluster4	FALSE
Chrysomelidae_cluster76	FALSE
Curculionidae_cluster77	FALSE
Staphylinidae_cluster231	FALSE
Carabidae_cluster68	FALSE
Curculionidae_cluster105	FALSE
Staphylinidae_cluster272	FALSE
Meloidae_cluster1	FALSE
Staphylinidae_cluster310	FALSE
unclassified.Coleoptera_cluster106	TRUE
Oedemeridae_cluster4	FALSE
Chrysomelidae_cluster43	FALSE
Coleoptera_X_cluster2	FALSE
Cerambycidae_cluster26	FALSE
unclassified.Coleoptera_cluster31	TRUE
Carabidae_cluster61	FALSE
Cerambycidae_cluster36	FALSE
Staphylinidae_cluster169	FALSE
Lucanidae_cluster1	FALSE
Staphylinidae_cluster223	FALSE
Staphylinidae_cluster249	FALSE
unclassified.Coleoptera_cluster80	TRUE
Chrysomelidae_cluster125	TRUE
Rhadalidae_cluster24	FALSE
Carabidae_cluster7	FALSE
Coccinellidae_cluster15	FALSE
Curculionidae_cluster24	FALSE
Byrrhidae_cluster2	FALSE
Chrysomelidae_cluster29	FALSE
Coccinellidae_cluster33	FALSE
Chrysomelidae_cluster50	FALSE
unclassified.Coleoptera_cluster13	FALSE
unclassified.Coleoptera_cluster19	FALSE
Curculionidae_cluster50	FALSE
Melyridae_cluster9	FALSE
Cantharidae_cluster44	FALSE
Silvanidae_cluster2	FALSE
Chrysomelidae_cluster64	FALSE
Staphylinidae_cluster171	FALSE
Phalacridae_cluster6	FALSE
Melandryidae_cluster2	FALSE
Staphylinidae_cluster191	FALSE
unclassified.Coleoptera_cluster29	FALSE
Chrysomelidae_cluster71	FALSE
Chrysomelidae_cluster86	FALSE
Cantharidae_cluster48	FALSE
Curculionidae_cluster92	FALSE
unclassified.Coleoptera_cluster58	FALSE
Carabidae_cluster79	TRUE
Staphylinidae_cluster222	FALSE
Latridiidae_cluster15	FALSE
