"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Hymenoptera"	44	"TRUE"	"wdadn"	1.3	14315	1922	5452	78	338	445	209	253	0.0143066764490095	0.618343195266272	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0128410914927769	0.61764705882353
"Hymenoptera"	45	"TRUE"	"wdadn"	1.5	14315	1747	5452	65	338	445	218	265	0.0119222303741746	0.644970414201183	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0105939004815409	0.644117647058824
"Hymenoptera"	46	"TRUE"	"wdadn"	1.7	14315	1570	5452	49	338	445	230	280	0.0089875275128393	0.680473372781065	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0080256821829855	0.679411764705882
"Coleoptera"	1	"FALSE"	"dadn"	1	2663	1026	1675	336	184	401	41	84	0.200597014925373	0.222826086956522	738	130	620	253	404	70	40	0.176151761517615	0.571428571428571	0.193120596767509	0.318897637795276
"Coleoptera"	2	"FALSE"	"dadn"	1.2	2663	858	1675	212	184	401	53	101	0.126567164179104	0.28804347826087	738	72	620	253	404	70	44	0.0975609756097561	0.628571428571429	0.117695814338997	0.381889763779528
"Coleoptera"	3	"FALSE"	"dadn"	1.5	2663	691	1675	110	184	401	65	118	0.0656716417910448	0.353260869565217	738	32	620	253	404	70	44	0.043360433604336	0.628571428571429	0.0588479071694986	0.429133858267717
"Coleoptera"	4	"FALSE"	"dadn"	1.8	2663	567	1675	49	184	401	72	145	0.0292537313432836	0.391304347826087	738	16	620	253	404	70	48	0.021680216802168	0.685714285714286	0.0269374222958972	0.47244094488189
"Coleoptera"	5	"FALSE"	"dadn"	2.1	2663	474	1675	26	184	401	89	191	0.0155223880597015	0.483695652173913	738	7	620	253	404	70	55	0.0094850948509485	0.785714285714286	0.0136759220886863	0.566929133858268
"Coleoptera"	6	"FALSE"	"dadn"	2.4	2663	414	1675	16	184	401	99	213	0.0095522388059701	0.53804347826087	738	5	620	253	404	70	56	0.0067750677506775	0.8	0.0087028595109821	0.610236220472441
"Coleoptera"	7	"FALSE"	"wdadn"	0.8	2663	768	1675	144	184	401	60	108	0.0859701492537313	0.326086956521739	738	53	620	253	404	70	44	0.0718157181571816	0.628571428571429	0.0816411106506423	0.409448818897638
