"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Odonata"	5	17	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	6	18	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	7	19	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	8	20	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	9	21	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	10	22	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	11	23	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Odonata"	12	24	"False"	"wdadn"	4	34	15	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	4	0	0.4	0.0454545454545455	0.307692307692308
"Entomobryomorpha"	1	13	"False"	"wdadn"	4	787	476	187	25	72	303	19	82	0.133689839572193	0.263888888888889	0	0	5	3	28	14	7	NA	0.5	0.133689839572193	0.302325581395349
"Entomobryomorpha"	2	14	"False"	"wdadn"	4	787	474	187	24	72	303	20	82	0.128342245989305	0.277777777777778	0	0	5	3	28	14	7	NA	0.5	0.128342245989305	0.313953488372093
"Entomobryomorpha"	3	15	"False"	"wdadn"	4	787	451	187	17	72	303	24	88	0.0909090909090909	0.333333333333333	0	0	5	3	28	14	7	NA	0.5	0.0909090909090909	0.36046511627907
"Entomobryomorpha"	4	16	"False"	"wdadn"	4	787	450	187	16	72	303	24	88	0.0855614973262032	0.333333333333333	0	0	5	3	28	14	7	NA	0.5	0.0855614973262032	0.36046511627907
"Entomobryomorpha"	5	17	"False"	"wdadn"	4	787	452	187	17	72	303	24	88	0.0909090909090909	0.333333333333333	0	0	5	3	28	14	7	NA	0.5	0.0909090909090909	0.36046511627907
"Entomobryomorpha"	6	18	"False"	"wdadn"	4	787	451	187	16	72	303	24	88	0.0855614973262032	0.333333333333333	0	0	5	3	28	14	7	NA	0.5	0.0855614973262032	0.36046511627907
"Entomobryomorpha"	7	19	"False"	"wdadn"	4	787	495	187	25	72	303	16	74	0.133689839572193	0.222222222222222	0	0	5	3	28	14	6	NA	0.428571428571429	0.133689839572193	0.255813953488372
"Entomobryomorpha"	8	20	"False"	"wdadn"	4	787	493	187	25	72	303	17	75	0.133689839572193	0.236111111111111	0	0	5	3	28	14	6	NA	0.428571428571429	0.133689839572193	0.267441860465116
