"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Mantodea"	41	84	0.9	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Mantodea"	42	84	0.9	"mean"	0.05	TRUE	1	0	0	0	0	0	NA	NA
"Mantodea"	43	90	0.95	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Mantodea"	44	95	0.95	"mean"	0.1	TRUE	1	0	0	0	0	0	NA	NA
"Hexapoda"	39	84	0.99	"mean"	0.1	TRUE	47045	8583	18770	359	2091	982	0.0191262653169952	0.469631755141081
"Hexapoda"	40	84	0.95	"mean"	0.05	TRUE	47045	7694	18770	288	2091	1080	0.0153436334576452	0.516499282639885
"Hexapoda"	41	84	0.9	"mean"	0.1	TRUE	47045	8898	18770	395	2091	952	0.0210442194992009	0.455284552845528
"Hexapoda"	42	84	0.9	"mean"	0.05	TRUE	47045	7794	18770	301	2091	1073	0.0160362280234417	0.513151602104256
"Hexapoda"	43	90	0.95	"mean"	0.1	TRUE	47045	8114	18770	308	2091	1003	0.0164091635588705	0.479674796747967
"Hexapoda"	44	95	0.95	"mean"	0.1	TRUE	47045	3214	18770	111	2091	1472	0.00591369206180075	0.703969392635103
