taxon	run	min_match	min_overlap	read_ratio_type	max_read_ratio	require_corr	clusters	removed_clusters	unique_bins	removed_uniques	duplicate_bins	duplicate_bin_records	remaining_dups	remaining_dup_records	false_pos	false_neg	finbol_clusters	removed_finbol_clusters	spp_in_known	found_spp_in_known	clusters_in_known	spurious	remaining_spurious	false_pos_finbol	false_neg_spurious	false_pos_comb	false_neg_comb	count_type
Coleoptera	6	84	0.95	max	0.8	False	2663	667	1675	46	184	401	33	152	0.0274626865671642	0.179347826086957	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0211355159552424	0.291338582677165	raw
Coleoptera	7	84	0.95	mean	0.1	True	2663	546	1675	27	184	401	66	193	0.0161194029850746	0.358695652173913	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0116038126813096	0.440944881889764	raw
Coleoptera	8	84	0.95	mean	0.1	False	2663	602	1675	32	184	401	49	176	0.0191044776119403	0.266304347826087	738	3	620	253	404	70	42	0.0040650406504065	0.6	0.014504765851637	0.358267716535433	raw
Coleoptera	9	84	0.95	mean	0.8	True	2663	616	1675	41	184	401	47	163	0.0244776119402985	0.255434782608696	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.018234562784915	0.362204724409449	raw
Coleoptera	10	84	0.95	mean	0.8	False	2663	687	1675	48	184	401	25	140	0.0286567164179104	0.135869565217391	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0219643597181931	0.255905511811024	raw
Coleoptera	11	84	0.95	max	1.0	False	2663	677	1675	47	184	401	29	147	0.0280597014925373	0.157608695652174	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0215499378367178	0.275590551181102	raw
Coleoptera	12	84	0.95	mean	1.0	False	2663	692	1675	50	184	401	25	139	0.0298507462686567	0.135869565217391	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0227932034811438	0.255905511811024	raw
Coleoptera	13	84	0.95	max	1.0	True	2663	618	1675	42	184	401	48	163	0.0250746268656716	0.260869565217391	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0186489846663904	0.366141732283465	raw
Coleoptera	14	84	0.95	mean	1.0	True	2663	621	1675	43	184	401	47	162	0.0256716417910448	0.255434782608696	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0190634065478657	0.362204724409449	raw
Coleoptera	15	84	0.95	max	0.5	True	2663	601	1675	40	184	401	51	170	0.0238805970149254	0.277173913043478	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0178201409034397	0.377952755905512	raw
Coleoptera	16	84	0.95	mean	0.5	True	2663	603	1675	40	184	401	49	168	0.0238805970149254	0.266304347826087	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0178201409034397	0.37007874015748	raw
Coleoptera	17	84	0.95	max	0.5	False	2663	643	1675	43	184	401	37	162	0.0256716417910448	0.201086956521739	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0198922503108164	0.307086614173228	raw
Coleoptera	18	84	0.95	mean	0.5	False	2663	674	1675	47	184	401	27	145	0.0280597014925373	0.146739130434783	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0215499378367178	0.263779527559055	raw
Coleoptera	19	84	0.9	max	0.1	False	2663	526	1675	30	184	401	72	212	0.017910447761194	0.391304347826087	738	2	620	253	404	70	45	0.002710027100271	0.642857142857143	0.0132615002072109	0.460629921259843	raw
Coleoptera	20	84	0.9	mean	0.1	False	2663	609	1675	33	184	401	45	172	0.0197014925373134	0.244565217391304	738	3	620	253	404	70	42	0.0040650406504065	0.6	0.0149191877331123	0.34251968503937	raw
Coleoptera	21	84	0.9	max	0.5	False	2663	649	1675	44	184	401	34	159	0.0262686567164179	0.184782608695652	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0203066721922918	0.295275590551181	raw
Coleoptera	22	84	0.9	mean	0.5	False	2663	684	1675	50	184	401	22	140	0.0298507462686567	0.119565217391304	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0227932034811438	0.244094488188976	raw
Coleoptera	23	84	0.9	max	0.8	False	2663	674	1675	47	184	401	29	148	0.0280597014925373	0.157608695652174	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0215499378367178	0.275590551181102	raw
