"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Neuroptera"	3	10	TRUE	"wdadn"	1.1	159	23	58	3	4	0	0.0517241379310345	0
"Neuroptera"	4	10	TRUE	"dadn"	1.8	159	23	58	3	4	0	0.0517241379310345	0
"Neuroptera"	5	27	TRUE	"wdadn"	1.1	159	20	58	2	4	0	0.0344827586206897	0
"Neuroptera"	6	27	TRUE	"dadn"	1.8	159	22	58	2	4	0	0.0344827586206897	0
"Neuroptera"	7	28	TRUE	"wdadn"	1.1	159	20	58	2	4	0	0.0344827586206897	0
"Neuroptera"	8	28	TRUE	"dadn"	1.8	159	22	58	2	4	0	0.0344827586206897	0
"Neuroptera"	9	9	FALSE	"wdadn"	3	159	22	58	3	4	1	0.0517241379310345	0.25
"Neuroptera"	10	10	FALSE	"wdadn"	3	159	25	58	3	4	0	0.0517241379310345	0
"Neuroptera"	11	27	FALSE	"wdadn"	3	159	21	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	12	28	FALSE	"wdadn"	3	159	21	58	2	4	1	0.0344827586206897	0.25
"Ephemeroptera"	1	9	TRUE	"wdadn"	1.1	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	2	9	TRUE	"dadn"	1.8	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	3	10	TRUE	"wdadn"	1.1	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	4	10	TRUE	"dadn"	1.8	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	5	27	TRUE	"wdadn"	1.1	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	6	27	TRUE	"dadn"	1.8	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	7	28	TRUE	"wdadn"	1.1	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	8	28	TRUE	"dadn"	1.8	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	9	9	FALSE	"wdadn"	3	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	10	10	FALSE	"wdadn"	3	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	11	27	FALSE	"wdadn"	3	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	12	28	FALSE	"wdadn"	3	51	3	39	1	2	0	0.0256410256410256	0
"Odonata"	1	9	TRUE	"wdadn"	1.1	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	2	9	TRUE	"dadn"	1.8	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	3	10	TRUE	"wdadn"	1.1	136	17	20	1	3	0	0.05	0
"Odonata"	4	10	TRUE	"dadn"	1.8	136	17	20	1	3	0	0.05	0
"Odonata"	5	27	TRUE	"wdadn"	1.1	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	6	27	TRUE	"dadn"	1.8	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	7	28	TRUE	"wdadn"	1.1	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	8	28	TRUE	"dadn"	1.8	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	9	9	FALSE	"wdadn"	3	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	10	10	FALSE	"wdadn"	3	136	17	20	1	3	0	0.05	0
"Odonata"	11	27	FALSE	"wdadn"	3	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	12	28	FALSE	"wdadn"	3	136	16	20	1	3	1	0.05	0.333333333333333
"Megaloptera"	1	9	TRUE	"wdadn"	1.1	4	2	1	0	1	0	0	0
"Megaloptera"	2	9	TRUE	"dadn"	1.8	4	2	1	0	1	0	0	0
"Megaloptera"	3	10	TRUE	"wdadn"	1.1	4	2	1	0	1	0	0	0
"Megaloptera"	4	10	TRUE	"dadn"	1.8	4	2	1	0	1	0	0	0
"Megaloptera"	5	27	TRUE	"wdadn"	1.1	4	2	1	0	1	0	0	0
"Megaloptera"	6	27	TRUE	"dadn"	1.8	4	2	1	0	1	0	0	0
"Megaloptera"	7	28	TRUE	"wdadn"	1.1	4	2	1	0	1	0	0	0
"Megaloptera"	8	28	TRUE	"dadn"	1.8	4	2	1	0	1	0	0	0
"Megaloptera"	9	9	FALSE	"wdadn"	3	4	2	1	0	1	0	0	0
"Megaloptera"	10	10	FALSE	"wdadn"	3	4	2	1	0	1	0	0	0
"Megaloptera"	11	27	FALSE	"wdadn"	3	4	2	1	0	1	0	0	0
"Megaloptera"	12	28	FALSE	"wdadn"	3	4	2	1	0	1	0	0	0
"Poduromorpha"	1	9	TRUE	"wdadn"	1.1	432	227	86	7	40	17	0.0813953488372093	0.425
"Poduromorpha"	2	9	TRUE	"dadn"	1.8	432	223	86	7	40	18	0.0813953488372093	0.45
