ASV	cluster	rep_asv
abc422dde086e22669a598e6a7ce4f5d	Silphidae_cluster10	abc422dde086e22669a598e6a7ce4f5d
5e479244c2819409c0afc6b72a257230	Syrphidae_cluster15	274e6ea3df151b8afc7e295fdeeb0232
b948780205cb17cd57d8c9a863f7d8e8	Tortricidae_cluster60	ca33c8601873f8bfe579ca2bcf647398
1561a22af0df9c3c18743ecf8d31ea56	Chironomidae_cluster343	7987b5f831314e815b5d98b733b96ec4
ded14c867dfd7eab8d9a8126c9cf085c	Noctuidae_cluster51	ded14c867dfd7eab8d9a8126c9cf085c
6583dc68af80aa77e252deee829266c3	Linyphiidae_cluster66	c086ce74f5f10949eef86cde66ef9b9e
a1e9616e5708a5a3fce9966963bc5382	Scraptiidae_cluster4	a1e9616e5708a5a3fce9966963bc5382
0748272206d62056790aec505521f960	Adelidae_cluster9	0748272206d62056790aec505521f960
006dd33939fd29b54a482ac4c6926cb5	Chironomidae_cluster137	095c69e62d3ea57cd2d36523bb40434a
ff2a6605df99f60586e9fd61884e2c0f	Ichneumonidae_cluster2322	ff2a6605df99f60586e9fd61884e2c0f
bcf1ca8ccd7bbee017e27989d930d354	Tortricidae_cluster130	eec02353bdc64f1fc4d2d86d54732830
a55a205f90c94c8abc884d51b330b5e1	Rhyparochromidae_cluster35	a55a205f90c94c8abc884d51b330b5e1
0b253cb08b2e4df4be49009604754130	Dryinidae_cluster12	0b253cb08b2e4df4be49009604754130
96fdbbe722993e19e22e94bca536a447	Staphylinidae_cluster50	96fdbbe722993e19e22e94bca536a447
cc57906efbc79a5acfef3f8c67ea358c	Geometridae_cluster45	f94566f42116a7f0ceba507c7326a83f
b3705c7499570200934057947b30a383	Peripsocidae_cluster5	b3705c7499570200934057947b30a383
e8bc26c3b4954534abda2158c467b94b	Elachistidae_cluster23	e8bc26c3b4954534abda2158c467b94b
b8317b0b7412251527124134fbb1c995	Hemerobiidae_cluster20	20bb7509f483f35829b3f8647726938e
5b43e0b205194a4c0fde58875993abb2	Notodontidae_cluster9	5b43e0b205194a4c0fde58875993abb2
af332b661f1a8d644e774bd97bdf0019	Fanniidae_cluster38	bd17fda3cabb06c5bd59bc26d829e062
a92e420bf079e5b61e1d25a1171d789b	Elachistidae_cluster7	2c2947b79e344f93e77bc527c44e5bc4
486e303a448c01d073c6bfff67f12f05	Geometridae_cluster197	486e303a448c01d073c6bfff67f12f05
af1e96b327068302a228c90b3dacb5f6	Muscidae_cluster97	d069912996df28df969fdf71ae5a9d30
51e9edc0235964f95dff2bc5e4a656ce	Tenthredinidae_cluster54	51e9edc0235964f95dff2bc5e4a656ce
da0d3287433a73c3bd2909e4872dedec	Tenthredinidae_cluster206	da0d3287433a73c3bd2909e4872dedec
1fbbd36ec75916ede7b96a0d0ed6ee0a	Coccinellidae_cluster2	1fbbd36ec75916ede7b96a0d0ed6ee0a
2fd9312af379dcbf8eecae87656cd93d	Anthomyiidae_cluster8	2fd9312af379dcbf8eecae87656cd93d
471fec3eb42e3bb81df6b97d9bd99311	Chironomidae_cluster38	471fec3eb42e3bb81df6b97d9bd99311
bdc8762f1ffef899f1646d8757514352	Gelechiidae_cluster110	7572a6a83bbf63c894aa59c5ef9316d6
fb360a57733e1e369a2b9a0eb8be9ef6	Cerambycidae_cluster9	a24927ee0c2d71bb6dadaf9046d3559f
4093e7a048b02b2dfffc6dae131da303	Hybotidae_cluster52	af11390a1873b344aceb69eb78cd6033
c4c10b071dd56382ef88473a2337012e	Tortricidae_cluster162	f53193e0ac47b298e2ae6c72f1c677e5
55cb48091024618413f5d018b413bb02	Limoniidae_cluster110	55cb48091024618413f5d018b413bb02
e8322c2dc375aeec522493889f2b3065	Acartophthalmidae_cluster1	c0214866007832b7d0359b04a0b0af47
9fd58f99b3037cb0b4a43167703d5d10	Ichneumonidae_cluster919	9fd58f99b3037cb0b4a43167703d5d10
506785a1df77e6c2ad20ca5570cbd2cd	Muscidae_cluster109	506785a1df77e6c2ad20ca5570cbd2cd
e54a62863932d5ac4e84c2462c7fca0b	Noctuidae_cluster116	4d655537a2be3249d506dd6d271c7631
850e32bbdb67f9539055d2be1d10b1b7	Mordellidae_cluster9	a485a54ead3a076755945d3109ba3037
bc17f3951bf6a11c84b619da02d39eec	unclassified.Neuroptera_cluster2	2eae04a5ddbda0b83be4d7afc0e52c1c
ad9d09149dcfe3c352404b1657d1e348	Lycidae_cluster1	20c548436c4bf548752043abbbee3a4b
20c75582829b1b15626c105d44ee297d	Tabanidae_cluster13	0b3b17c28f0c52d21b18d8219f4a825b
e2ad0b77d6c3606d072de4b0973cc11a	Lonchopteridae_cluster5	e2ad0b77d6c3606d072de4b0973cc11a
001112570e1e7c0a5a1f7791e41e6386	Chironomidae_cluster369	001112570e1e7c0a5a1f7791e41e6386
d4c0a7bc0aed04bee83abe1ad7978352	Tenthredinidae_cluster130	a1606e098e7b82fe3f1f4fa48a35057d
32e3672ddaf9044312bc2319cf485e6e	Limoniidae_cluster34	32e3672ddaf9044312bc2319cf485e6e
59197f7c75978e3056acebe802ce33b3	Noctuidae_cluster33	233fd223c1500de8fe6b9b3b93c7d417
ec2504223cbdecfc6357b727a6c62d47	Caeciliusidae_cluster7	1a18bc83eeceac93f27f12fa458af4aa
e7c3da7e34f2ed8f8bf83ee8e0a6bed8	Carabidae_cluster39	e7c3da7e34f2ed8f8bf83ee8e0a6bed8
f997be95585a557ce918fff873b7f61b	Tachinidae_cluster86	f997be95585a557ce918fff873b7f61b
321b3e277705c6ab191ef1ceb477a45c	Tenthredinidae_cluster33	0dbb3ba1796e14e3edcd964c0605ed37
